Image,Original,1,2,3,4
kodim01,14.9841512,0.166768392,0.456339518,1.12487793,0.166768392
kodim02,12.57314046,0.101501465,0.230855306,0.569335938,0.101501465
kodim03,10.23128255,0.085835775,0.203877767,0.460327148,0.085835775
kodim04,12.96858724,0.098612467,0.240865072,0.57808431,0.098612467
