Image,Original,1,2,3,4
kodim01,14.9841512,0.157592773,0.438171387,1.109476725,2.070088704
kodim02,12.57314046,0.098225911,0.220784505,0.54494222,1.206400553
kodim03,10.23128255,0.083618164,0.19930013,0.461039225,0.923563639
kodim04,12.96858724,0.09366862,0.235514323,0.562642415,1.197937012
