Image,Original,hific-lo,hific-mi,hific-hi
kodim01,14.9841512,0.249471029,0.475748698,0.749267578
kodim02,12.57314046,0.144917806,0.305053711,0.471720378
kodim03,10.23128255,0.125061035,0.248779297,0.35555013
kodim04,12.96858724,0.15045166,0.301717122,0.460103353
