Model,Original,1,2,3,4,5,6,7,8
mbt2018-mean-mse,12.57314046,0.054931641,0.096354167,0.159830729,0.265625,0.432515462,0.671529134,1.014546712,1.481343587
mbt2018-mean-msssim,12.57314046,0.075866699,0.12705485,0.264953613,0.397379557,0.712565104,1.088053385,1.59387207,2.224324544
