Model,Original,1,2,3,4,5,6,7,8
mbt2018-mean-mse,14.9841512,0.138142904,0.268229167,0.487121582,0.772725423,1.138163249,1.573710124,2.054056803,2.590840658
mbt2018-mean-msssim,14.9841512,0.128926595,0.186340332,0.406656901,0.52339681,0.958496094,1.362182617,1.860026042,2.441650391
