Model,Original,1,2,3,4,5,6,7,8
mbt2018-mean-mse,12.96858724,0.066935221,0.113077799,0.186157227,0.292643229,0.454610189,0.68178304,0.999165853,1.410339355
mbt2018-mean-msssim,12.96858724,0.081522624,0.12677002,0.254048665,0.364298503,0.650268555,0.982340495,1.446655273,2.028849284
