Model,Original,1,2,3,4,5,6,7,8
mbt2018-mean-mse,10.23128255,0.055338542,0.093953451,0.149169922,0.228474935,0.339294434,0.484232585,0.680114746,0.925720215
mbt2018-mean-msssim,10.23128255,0.062316895,0.096252441,0.182352702,0.263041178,0.436035156,0.637817383,0.938476563,1.41796875
