Compressed,Decompressed
7904,448127
4760,337031
4118,334427
4576,358873
9542,586851
6404,399031
5680,412274
10530,552522
4694,324732
4734,347334
5712,371944
4500,306014
8970,518016
6886,461426
4788,381298
4154,310213
4744,389040
6440,454215
5410,375740
4772,337301
6150,370989
5050,375532
4468,368711
6628,450476
