Compressed,Decompressed
120382,756606
110260,586740
70056,480273
100788,597295
108780,778963
105190,653684
69922,501906
119002,766038
95868,537667
95580,548617
103858,618549
90714,535172
142304,880673
114510,713979
92346,576733
89666,538786
90068,568573
125200,740363
103708,618596
80374,464655
110056,639020
116432,663061
76766,498728
106348,673713
