Compressed,Decompressed
19998,577110
14278,402541
9579,389901
13093,460475
20358,681082
16119,497723
11027,444364
18608,608354
8677,355394
10575,395686
15135,463549
11243,364964
23418,719813
18532,570831
11235,427661
12487,406207
11571,441316
18170,586043
13451,476008
9547,340816
13049,449636
16275,500337
8437,388768
17268,559624
