Image,Original,1,2,3,4,5,6,7,8
kodim01,14.9841512,0.138142904,0.268229167,0.487121582,0.772725423,1.138163249,1.573710124,2.054056803,2.590840658
kodim02,12.57314046,0.054931641,0.096354167,0.159830729,0.265625,0.432515462,0.671529134,1.014546712,1.481343587
kodim03,10.23128255,0.055338542,0.093953451,0.149169922,0.228474935,0.339294434,0.484232585,0.680114746,0.925720215
kodim04,12.96858724,0.066935221,0.113077799,0.186157227,0.292643229,0.454610189,0.68178304,0.999165853,1.410339355
