Compressed,Decompressed
39431,644787
15590,391003
12862,408511
16076,451682
40915,720487
28247,535356
17573,462446
42969,662732
13388,389755
14458,410063
23637,477207
13062,370534
52697,791687
30237,586074
15712,438596
17091,419036
16032,448228
31385,612783
20419,480106
15020,339665
25443,499972
22969,503080
10798,398538
31829,586123
