Compressed,Decompressed
62238,691518
51802,520054
35952,437370
47594,542799
56828,748144
55058,597206
35274,463913
58086,701740
37786,433894
39488,462081
51896,558608
43038,460708
73710,828533
58030,666384
43268,507782
46640,484891
39932,499974
57864,675890
47582,543974
38618,408919
48578,547811
54064,593528
33676,421786
52942,628532
