Compressed,Decompressed
9863,483994
7491,339949
5863,341396
7123,401684
10355,612902
8627,439713
6851,414166
10009,559211
5873,325317
6449,360418
8029,401857
6417,328042
10997,590181
9399,505002
6457,386399
7063,355034
6673,398921
9233,507903
7479,415449
5941,334018
7513,398565
8121,429916
5993,362678
8621,486201
