Model,Original,1,2,3,4
b2018-leaky_relu-128,12.57314046,0.095906576,0.21883138,0.549173991,1.053243001
b2018-leaky_relu-192,12.57314046,0.098225911,0.220784505,0.54494222,1.206400553
b2018-gdn-128,12.57314046,0.103210449,0.234924316,0.571818034,1.08996582
b2018-gdn-192,12.57314046,0.101501465,0.230855306,0.569335938,1.246582031
