Model,Original,1,2,3,4
b2018-leaky_relu-128,12.96858724,0.094685872,0.232543945,0.570129395,1.046081543
b2018-leaky_relu-192,12.96858724,0.09366862,0.235514323,0.562642415,1.197937012
b2018-gdn-128,12.96858724,0.098571777,0.246236165,0.583984375,1.07035319
b2018-gdn-192,12.96858724,0.098612467,0.240865072,0.57808431,1.212483724
