Model,Original,1,2,3,4
b2018-leaky_relu-128,10.23128255,0.083414714,0.199666341,0.463358561,0.834818522
b2018-leaky_relu-192,10.23128255,0.083618164,0.19930013,0.461039225,0.923563639
b2018-gdn-128,10.23128255,0.087422689,0.206319173,0.464518229,0.846964518
b2018-gdn-192,10.23128255,0.085835775,0.203877767,0.460327148,0.925130208
