Model,Original,1,2,3,4,5,6,7,8
bmshj2018-factorized-mse,14.9841512,0.160807292,0.268025716,0.460184733,0.73614502,1.117248535,1.606547038,2.200581868,2.851745605
bmshj2018-factorized-msssim,14.9841512,0.111592611,0.200663249,0.353515625,0.567911784,0.848632813,1.266235352,1.793945313,2.524373372
bmshj2018-hyperprior-mse,14.9841512,0.182820638,0.313517253,0.517069499,0.802225749,1.134379069,1.583679199,2.079691569,2.59958903
mshj2018-hyperprior-msssim,14.9841512,0.133158366,0.249043783,0.406860352,0.562255859,0.979532878,1.383219401,1.877075195,2.44917806
