Model,Original,1,2,3,4,5,6,7,8
bmshj2018-factorized-mse,12.57314046,0.096842448,0.147664388,0.23063151,0.36142985,0.551493327,0.819681803,1.209533691,1.718892415
bmshj2018-factorized-msssim,12.57314046,0.085225423,0.152404785,0.262471517,0.441935221,0.683390299,1.053914388,1.534098307,2.21500651
bmshj2018-hyperprior-mse,12.57314046,0.087076823,0.12886556,0.203735352,0.317179362,0.496643066,0.721618652,1.076477051,1.554463704
mshj2018-hyperprior-msssim,12.57314046,0.097717285,0.16986084,0.290486654,0.437255859,0.739868164,1.118489583,1.606038411,2.243245443
