Model,Original,1,2,3,4,5,6,7,8
bmshj2018-factorized-mse,12.96858724,0.093098958,0.153279622,0.240966797,0.372375488,0.562316895,0.813903809,1.173075358,1.651021322
bmshj2018-factorized-msssim,12.96858724,0.081075033,0.144917806,0.252339681,0.411214193,0.632486979,0.968302409,1.418741862,2.072509766
bmshj2018-hyperprior-mse,12.96858724,0.088826497,0.136149089,0.213867188,0.327067057,0.496073405,0.717020671,1.028299967,1.460347493
mshj2018-hyperprior-msssim,12.96858724,0.092142741,0.162821452,0.266377767,0.393554688,0.666951497,1.005533854,1.456095378,2.050537109
