Compressed,Decompressed
15410,522482
6334,387902
5558,421173
6692,453006
18877,660804
11610,479372
8484,493059
19993,610849
6288,417999
6800,448604
9692,458222
5756,383123
21927,659521
12348,530361
6706,427505
6386,405090
7236,457469
13504,555724
7976,460769
6626,361278
10996,475159
8690,465096
5500,441492
13992,552296
