Compressed,Decompressed
55757,689663
24411,432186
18473,412344
24383,480094
55589,741194
40161,566907
24217,460750
58325,690335
18805,385704
20603,412864
34439,512077
19895,383785
71281,826284
43875,628567
23455,449892
26191,449587
22879,458342
43681,638016
31213,506244
22123,359021
35035,509468
34433,539819
14948,395941
43849,611945
